GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AliveJTUI,io.alive.tui.example,DemoApp,1949,0,156,0,306,0,152,0,70,0
AliveJTUI,io.alive.tui.example,ItemList,1,118,2,6,0,19,2,10,0,8
AliveJTUI,io.alive.tui.example,TodoApp,8,0,0,0,3,0,2,0,2,0
AliveJTUI,io.alive.tui.example,Showcase,656,0,14,0,100,0,18,0,11,0
AliveJTUI,io.alive.tui.example,TodoList,0,179,1,9,0,33,1,16,0,12
AliveJTUI,io.alive.tui.nativeio.input,AnsiKeyDecoder,26,528,10,46,5,94,9,27,0,7
AliveJTUI,io.alive.tui.nativeio.input,MouseDecoder,3,162,0,26,2,26,0,16,0,3
AliveJTUI,io.alive.tui.backend,TerminalInitException,5,0,0,0,2,0,1,0,1,0
AliveJTUI,io.alive.tui.backend,AnsiBackend,161,296,17,51,37,71,25,36,8,12
AliveJTUI,io.alive.tui.backend,TerminalRenderException,5,0,0,0,2,0,1,0,1,0
AliveJTUI,io.alive.tui.backend,TerminalBackend,3,0,0,0,1,0,1,0,1,0
AliveJTUI,io.alive.tui.backend,LanternaBackend,349,194,28,43,85,48,34,39,14,6
AliveJTUI,io.alive.tui.backend,MockBackend.CellRecord,0,15,0,0,0,1,0,1,0,1
AliveJTUI,io.alive.tui.backend,MockBackend,6,262,11,31,2,56,13,31,2,21
AliveJTUI,io.alive.tui.backend,TerminalCapabilities,0,2,0,0,0,1,0,1,0,1
AliveJTUI,io.alive.tui.util,Clipboard,9,46,4,6,6,12,4,4,0,3
AliveJTUI,io.alive.tui.nativeio.raw,WindowsRawMode,55,40,13,5,14,10,9,5,0,5
AliveJTUI,io.alive.tui.nativeio.raw,PosixRawMode.LibC,3,0,0,0,1,0,1,0,1,0
AliveJTUI,io.alive.tui.nativeio.raw,WindowsVtOutput,49,40,13,5,14,10,9,5,0,5
AliveJTUI,io.alive.tui.nativeio.raw,PosixRawMode.Termios,44,0,0,0,10,0,2,0,2,0
AliveJTUI,io.alive.tui.nativeio.raw,PosixRawMode,91,23,13,3,26,6,9,5,1,5
